LKBH,JKDFX,FNODE&TNODE,CDGN,LDCD
4006,南,40094006,左直,505
4006,南,40094006,直右,505
4006,西,40054006,左,477
4006,西,40054006,直,477
4006,西,40054006,右,477
4006,北,40034006,左直,496
4006,北,40034006,直右,496
4005,东,40064005,左,477
4005,东,40064005,直,477
4005,东,40064005,右,477
4005,南,40084005,左,380
4005,南,40084005,直,380
4005,南,40084005,右,380
4005,西,40044005,左,352
4005,西,40044005,直,352
4005,西,40044005,右,352
4005,北,40024005,左,565
4005,北,40024005,直,565
4005,北,40024005,右,565
4004,东,40054004,左,352
4004,东,40054004,直,352
4004,东,40054004,右,352
4004,南,40074004,左直,411
4004,南,40074004,直右,411
4004,北,40014004,左直,398
4004,北,40014004,直右,398
4001,东,40024001,左直,509
4001,东,40024001,右,509
4001,南,40044001,左,398
4001,南,40044001,直右,398
4003,南,40064003,左直,496
4003,南,40064003,直右,496
4003,西,40024003,左直,336
4003,西,40024003,右,336
4002,东,40034002,左直,336
4002,东,40034002,右,336
4002,南,40054002,左,565
4002,南,40054002,直,565
4002,南,40054002,右,565
4002,西,40014002,左直,509
4002,西,40014002,右,509
4007,东,40084007,掉左,276
4007,东,40084007,直,276
4007,东,40084007,直,276
4007,北,40044007,左直,411
4007,北,40044007,右,411
4009,西,40084009,掉左,411
4009,西,40084009,直,411
4009,西,40084009,直,411
4009,北,40064009,左直,505
4009,北,40064009,直右,505
4008,东,40094008,掉左,411
4008,东,40094008,直,411
4008,东,40094008,直,411
4008,西,40074008,掉左,276
4008,西,40074008,直,276
4008,西,40074008,直,276
4008,北,40054008,左,380
4008,北,40054008,直,380
4008,北,40054008,直,380
4008,北,40054008,直,380
